fighter_id,name,nickname,wins,losses,ties,height_in,weight_lb,reach_in,stance,age,slpm,str_acc_dec,sapm,str_def_dec,td_avg,td_acc_dec,td_def_dec,sub_avg,hist_fights,hist_wins,hist_losses,hist_win_rate,hist_strike_acc,hist_td_acc,hist_sub_avg,hist_ctrl_avg,hist_finish_rate
4234f0097c83fa62,Sijara Eubanks,SarJ,8,7,0.0,64.0,125.0,67.0,Orthodox,40.0,4.3,0.43,3.43,0.57,1.9,0.44,0.66,0.3,9.0,5.0,4.0,0.5555555555555556,0.45328940881547425,0.4753968253968254,0.3333333333333333,273.0,0.2
159da492e000afbf,Leandro Silva,Buscape,20,6,,69.0,155.0,72.0,Orthodox,40.0,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4,6.0,3.0,3.0,0.5,0.5293419797875435,0.5083333333333333,0.3333333333333333,175.5,0.3333333333333333
7a15f3694c5cbc02,John Alessio,The Natural,35,17,,70.0,155.0,72.0,Orthodox,46.0,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,4.0,0.0,4.0,0.0,0.33402313605713185,0.2,0.75,66.0,0.5
3f11fd1751fa83b1,Yizha,,26,6,0.0,67.0,145.0,71.0,Orthodox,29.0,3.25,0.47,2.88,0.49,3.42,0.33,0.64,0.9,3.0,1.0,2.0,0.3333333333333333,0.5272224998611805,0.11904761904761904,0.0,169.66666666666666,1.0
8614b7134913f5d5,Jarjis Danho,Man Mountain,7,1,,75.0,265.0,74.0,Orthodox,42.0,3.38,0.5,5.25,0.49,0.51,0.16,1.0,0.0,1.0,0.0,1.0,0.0,0.4318181818181818,0.4,0.0,165.0,0.5
49e96ff8ab781589,Tyson Pedro,,10,5,0.0,75.0,205.0,79.0,Orthodox,34.0,2.9,0.59,2.39,0.56,0.76,0.3,0.5,0.8,10.0,6.0,4.0,0.6,0.6190285016222048,0.3333333333333333,0.4,66.3,1.0
c3c23c99477c041b,Frank Hamaker,,1,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
91186547a7f3f758,Ricardo Almeida,Big Dog,13,5,0.0,72.0,170.0,74.0,Orthodox,49.0,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,9.0,6.0,3.0,0.6666666666666666,0.5701251630665284,0.5831168831168831,1.2222222222222223,320.77777777777777,0.5
6c7e25571490aa3b,George Sullivan,The Silencer,17,7,,72.0,170.0,73.0,Orthodox,45.0,3.53,0.39,2.42,0.57,1.37,0.2,0.38,0.7,6.0,3.0,3.0,0.5,0.46801721006594144,0.3619047619047619,0.5,183.33333333333334,0.3333333333333333
887961364be5ceb3,King Green,,34,17,,70.0,155.0,71.0,Orthodox,39.0,6.38,0.53,3.58,0.62,1.31,0.42,0.72,0.3,26.0,14.0,12.0,0.5384615384615384,0.5416890811414762,0.4694444444444444,0.19230769230769232,93.0,0.35714285714285715
9b198c73e3d0d289,Justin Salas,J-Bomb,12,7,0.0,68.0,155.0,70.0,Southpaw,44.0,3.42,0.43,2.96,0.68,2.43,0.2,0.0,0.0,6.0,3.0,3.0,0.5,0.47877772787143513,0.12,0.0,63.166666666666664,0.3333333333333333
809bd1a871491508,Terrance McKinney,T. Wrecks,17,8,0.0,70.0,155.0,73.0,Switch,31.0,6.24,0.56,3.46,0.43,3.34,0.4,0.72,2.1,11.0,7.0,4.0,0.6363636363636364,0.5642079225123159,0.5111111111111111,0.45454545454545453,71.63636363636364,1.0
16af2d5a6f28bee2,Quinn Mulhern,,18,4,0.0,75.0,155.0,,Orthodox,41.0,1.48,0.28,2.09,0.51,1.36,0.2,0.33,0.0,1.0,0.0,1.0,0.0,0.18,0.0,0.0,0.0,0.5
7facc9c45d792985,Kaan Ofli,Genghis,14,4,1.0,67.0,145.0,66.0,Orthodox,32.0,2.33,0.45,3.34,0.54,0.38,0.07,0.0,0.4,3.0,1.0,2.0,0.3333333333333333,0.6327561327561327,0.5,0.3333333333333333,141.33333333333334,1.0
0541480fbf719d86,Houston Alexander,The Assassin,17,15,,72.0,205.0,72.0,Orthodox,53.0,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,5.0,2.0,3.0,0.4,0.4342857142857143,1.0,0.0,18.6,1.0
a54660deb6a8489c,Muin Gafurov,Tajik,20,7,0.0,67.0,135.0,68.0,Orthodox,29.0,3.36,0.47,2.51,0.55,1.57,0.28,0.7,0.0,4.0,2.0,2.0,0.5,0.44873782681937346,0.08333333333333333,0.0,169.25,0.0
eee7dafac7d672b5,Brian Melancon,,7,3,0.0,68.0,170.0,,Orthodox,43.0,4.18,0.49,3.64,0.64,2.02,1.0,0.66,0.0,1.0,1.0,0.0,1.0,0.5714285714285714,1.0,0.0,100.0,1.0
83455a9d17f57dae,Rafael Estevam,Macapa,14,0,0.0,68.0,135.0,69.0,Orthodox,29.0,2.1,0.54,2.59,0.47,6.01,0.38,0.66,0.3,2.0,2.0,0.0,1.0,0.3926356589147287,0.3576555023923445,0.5,562.5,0.0
51b1e2fd9872005b,Mackens Semerzier,Da Menace,8,4,,69.0,145.0,72.0,Orthodox,45.0,2.91,0.45,3.48,0.46,2.14,0.5,0.5,2.1,1.0,1.0,0.0,1.0,0.9,0.6,1.0,172.0,1.0
182f2b78582de3d8,Marcus LeVesseur,The Prospect,22,7,0.0,69.0,155.0,70.0,Southpaw,43.0,2.55,0.64,3.7,0.37,3.89,0.36,0.83,0.6,2.0,1.0,1.0,0.5,0.5941558441558441,0.7142857142857143,0.5,318.0,0.0
8cb78f3a6c2a08f7,Leah Letson,Nidas,5,3,0.0,67.0,145.0,71.0,Southpaw,33.0,3.06,0.41,3.84,0.52,0.51,0.5,0.76,0.0,1.0,1.0,0.0,1.0,0.40782122905027934,0.0,0.0,178.0,0.0
3a12a2f096a6d975,Roger Narvaez,Silverback,8,3,0.0,75.0,185.0,,Southpaw,42.0,2.12,0.37,3.32,0.64,0.0,0.0,0.5,0.9,2.0,1.0,1.0,0.5,0.2863636363636364,0.0,1.0,111.0,0.0
