height_in_a,weight_lb_a,reach_in_a,age_a,slpm_a,str_acc_dec_a,sapm_a,str_def_dec_a,td_avg_a,td_acc_dec_a,td_def_dec_a,sub_avg_a,height_in_b,weight_lb_b,reach_in_b,age_b,slpm_b,str_acc_dec_b,sapm_b,str_def_dec_b,td_avg_b,td_acc_dec_b,td_def_dec_b,sub_avg_b,hist_fights_a,hist_wins_a,hist_losses_a,hist_win_rate_a,hist_strike_acc_a,hist_td_acc_a,hist_sub_avg_a,hist_ctrl_avg_a,hist_finish_rate_a,hist_fights_b,hist_wins_b,hist_losses_b,hist_win_rate_b,hist_strike_acc_b,hist_td_acc_b,hist_sub_avg_b,hist_ctrl_avg_b,hist_finish_rate_b,height_in_diff,weight_lb_diff,reach_in_diff,age_diff,slpm_diff,str_acc_dec_diff,sapm_diff,str_def_dec_diff,td_avg_diff,td_acc_dec_diff,td_def_dec_diff,sub_avg_diff,hist_fights_diff,hist_wins_diff,hist_losses_diff,hist_win_rate_diff,hist_strike_acc_diff,hist_td_acc_diff,hist_sub_avg_diff,hist_ctrl_avg_diff,hist_finish_rate_diff,stance_a_Orthodox,stance_a_Sideways,stance_a_Southpaw,stance_a_Switch,stance_a_Unknown,stance_b_Orthodox,stance_b_Sideways,stance_b_Southpaw,stance_b_Switch,stance_b_Unknown,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Other,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,target
67.0,125.0,67.0,34.0,3.34,0.44,4.19,0.5,3.89,0.46,0.6,0.6,67.0,125.0,70.0,34.0,3.01,0.48,3.44,0.5,2.73,0.39,0.63,1.5,7,5,2,0.7142857142857143,0.5066027621229966,0.7129629629629629,0.14285714285714285,316.57142857142856,0.2,4,3,1,0.75,0.4388411481285622,0.48863636363636365,0.75,335.0,0.3333333333333333,0.0,0.0,-3.0,0.0,0.33000000000000007,-0.03999999999999998,0.7500000000000004,0.0,1.1600000000000001,0.07,-0.030000000000000027,-0.9,3,2,1,-0.0357142857142857,0.06776161399443442,0.22432659932659926,-0.6071428571428572,-18.428571428571445,-0.1333333333333333,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66.0,125.0,69.0,28.0,7.89,0.52,5.65,0.57,1.45,0.34,0.7,0.7,66.0,125.0,67.0,32.0,4.05,0.41,4.4,0.5,0.47,0.38,0.68,0.3,5,4,1,0.8,0.5690679399755642,0.3083333333333333,0.6,225.8,0.75,10,5,5,0.5,0.45255695899648424,0.6,0.2,115.3,0.2,0.0,0.0,2.0,-4.0,3.84,0.11000000000000004,1.25,0.06999999999999995,0.98,-0.03999999999999998,0.019999999999999907,0.39999999999999997,-5,-1,-4,0.30000000000000004,0.11651098097907991,-0.2916666666666667,0.39999999999999997,110.50000000000001,0.55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76.0,265.0,77.0,34.0,4.39,0.53,4.49,0.55,0.15,0.2,0.93,0.1,76.0,265.0,78.0,36.0,2.62,0.47,3.97,0.45,0.93,0.3,0.83,0.3,4,4,0,1.0,0.5515751532484822,1.0,0.25,172.75,0.25,0,0,0,0.6666666666666666,0.4731491988522903,0.45454545454545453,0.2857142857142857,116.11111111111111,0.5714285714285714,0.0,0.0,-1.0,-2.0,1.7699999999999996,0.06000000000000005,0.52,0.10000000000000003,-0.78,-0.09999999999999998,0.10000000000000009,-0.19999999999999998,4,4,0,0.33333333333333337,0.07842595439619188,0.5454545454545454,-0.0357142857142857,56.638888888888886,-0.3214285714285714,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74.0,185.0,75.0,31.0,4.04,0.6,2.32,0.43,5.29,0.55,0.85,1.8,72.0,170.0,76.0,38.0,4.16,0.51,2.67,0.55,2.79,0.44,0.89,0.1,6,6,0,1.0,0.6038426611079584,0.6133333333333333,1.1666666666666667,162.5,0.8333333333333334,17,15,2,0.8823529411764706,0.5416409937298601,0.5333830755389459,0.11764705882352941,472.52941176470586,0.3333333333333333,2.0,15.0,-1.0,-7.0,-0.1200000000000001,0.08999999999999997,-0.3500000000000001,-0.12000000000000005,2.5,0.11000000000000004,-0.040000000000000036,1.7,-11,-9,-2,0.11764705882352944,0.06220166737809829,0.07995025779438736,1.0490196078431373,-310.02941176470586,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
66.0,145.0,71.0,37.0,5.99,0.57,3.31,0.58,1.63,0.34,0.68,0.2,70.0,170.0,70.0,34.0,2.45,0.58,1.45,0.61,3.1,0.56,0.91,1.0,14,13,1,0.9285714285714286,0.5813669016457641,0.3798701298701299,0.21428571428571427,235.28571428571428,0.38461538461538464,14,13,1,0.9285714285714286,0.5728616324440629,0.6587962962962963,0.7142857142857143,300.64285714285717,0.6153846153846154,-4.0,-25.0,1.0,3.0,3.54,-0.010000000000000009,1.86,-0.030000000000000027,-1.4700000000000002,-0.22000000000000003,-0.22999999999999998,-0.8,0,0,0,0.0,0.008505269201701249,-0.2789261664261664,-0.5,-65.35714285714289,-0.23076923076923078,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68.0,135.0,65.0,34.0,2.79,0.4,3.66,0.58,0.85,0.22,0.81,0.0,66.0,135.0,66.0,39.0,3.31,0.41,4.59,0.54,1.68,0.41,0.6,0.7,13,8,5,0.6153846153846154,0.42749803671309067,0.2928571428571428,0.0,37.53846153846154,0.625,15,8,7,0.5333333333333333,0.4291205262079418,0.4333333333333333,0.4,134.13333333333333,0.625,2.0,0.0,-1.0,-5.0,-0.52,-0.009999999999999953,-0.9299999999999997,0.039999999999999925,-0.83,-0.18999999999999997,0.21000000000000008,-0.7,-2,0,-2,0.08205128205128209,-0.0016224894948511093,-0.14047619047619048,-0.4,-96.59487179487178,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68.0,135.0,70.0,33.0,3.08,0.48,2.05,0.55,0.86,0.15,0.63,1.1,67.0,135.0,68.0,29.0,3.36,0.47,2.51,0.55,1.57,0.28,0.7,0.0,8,6,2,0.75,0.5395282793460039,0.10404040404040404,0.75,56.625,0.6666666666666666,1,0,1,0.0,0.3885350318471338,0.0,0.0,115.0,0.5714285714285714,1.0,0.0,2.0,4.0,-0.2799999999999998,0.010000000000000009,-0.45999999999999996,0.0,-0.7100000000000001,-0.13000000000000003,-0.06999999999999995,1.1,7,6,1,0.75,0.1509932474988701,0.10404040404040404,0.75,-58.375,0.09523809523809523,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69.0,145.0,70.0,31.0,4.39,0.53,3.88,0.43,1.45,0.5,0.52,0.0,69.0,145.0,73.0,31.0,3.5,0.39,6.39,0.43,0.5,0.2,0.42,0.5,2,1,1,0.5,0.5005116279069768,0.0,0.0,49.5,1.0,0,0,0,0.6666666666666666,0.4731491988522903,0.45454545454545453,0.2857142857142857,116.11111111111111,0.5714285714285714,0.0,0.0,-3.0,0.0,0.8899999999999997,0.14,-2.51,0.0,0.95,0.3,0.10000000000000003,-0.5,2,1,1,-0.16666666666666663,0.0273624290546865,-0.45454545454545453,-0.2857142857142857,-66.61111111111111,0.4285714285714286,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
71.0,185.0,72.0,35.0,3.04,0.48,3.95,0.5,1.22,0.5,0.62,0.8,72.0,185.0,76.0,33.0,6.86,0.64,5.47,0.41,3.2,0.6,1.0,0.5,14,8,6,0.5714285714285714,0.5071663088491845,0.5411255411255411,0.6428571428571429,147.92857142857142,0.75,1,1,0,1.0,0.6060606060606061,0.45454545454545453,0.0,2.0,1.0,-1.0,0.0,-4.0,2.0,-3.8200000000000003,-0.16000000000000003,-1.5199999999999996,0.09000000000000002,-1.9800000000000002,-0.09999999999999998,-0.38,0.30000000000000004,13,7,6,-0.4285714285714286,-0.09889429721142162,0.08658008658008659,0.6428571428571429,145.92857142857142,-0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
67.0,125.0,66.0,39.0,3.37,0.44,2.65,0.57,3.71,0.47,0.59,1.1,67.0,125.0,70.0,25.0,1.61,0.45,1.35,0.57,5.29,0.41,0.25,0.8,18,8,10,0.4444444444444444,0.4799261558042288,0.5167795167795168,0.7777777777777778,246.05555555555554,0.125,4,4,0,1.0,0.5117816091954023,0.6062271062271062,1.0,457.0,0.75,0.0,0.0,-4.0,14.0,1.76,-0.010000000000000009,1.2999999999999998,0.0,-1.58,0.06,0.33999999999999997,0.30000000000000004,14,4,10,-0.5555555555555556,-0.03185545339117346,-0.08944758944758935,-0.2222222222222222,-210.94444444444446,-0.625,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
