fighter_id,name,nickname,wins,losses,ties,height_in,weight_lb,reach_in,stance,age,slpm,str_acc_dec,sapm,str_def_dec,td_avg,td_acc_dec,td_def_dec,sub_avg
7e208569469c8bc8,Ruan Potts,Fangzz,11,6,0,74,247,75,Orthodox,48,0.85,0.37,5.92,0.22,0.75,0.16,0.33,2.3
d1feea7a4bdcd503,Baisangur Susurkaev,Hunter,11,0,0,74,185,79,Orthodox,25,4.56,0.59,3.78,0.53,2.76,0.28,1.0,0.7
d4c9dcd330403612,Anthony Smith,Lionheart,38,22,0,76,205,76,Orthodox,37,3.19,0.49,5.04,0.44,0.44,0.22,0.5,0.6
31652c9267606d54,John Lober,The Machine,5,9,4,71,199,,Orthodox,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f00ac08ab056af5d,Tagir Ulanbekov,,17,3,0,67,125,70,Southpaw,34,3.01,0.48,3.44,0.5,2.73,0.39,0.63,1.5
11583163f45c7b31,Lucas Alexander,The Lion,8,5,0,71,145,73,Orthodox,30,4.69,0.57,2.87,0.56,0.0,0.0,0.6,0.0
4729c93ba705a3bf,Kiefer Crosbie,BDK,10,6,0,71,170,70,Switch,35,4.46,0.64,5.8,0.46,0.0,0.0,0.4,0.0
06a80a685ea98573,Irwin Rivera,The Beast,10,6,0,66,135,67,Southpaw,37,3.36,0.44,5.07,0.57,1.0,0.16,0.7,0.0
3aa794cbe1e3484b,Josh Copeland,Cuddly Bear,12,4,0,73,265,,Orthodox,43,1.03,0.31,3.01,0.55,0.0,0.0,0.57,0.0
9ca265dfe8323db3,Tim McKenzie,,14,9,0,72,185,74,Orthodox,43,1.37,0.54,2.96,0.44,0.0,0.0,0.28,2.1
ba1e6cb3d43f7430,Justin Ledet,El Blanco,9,4,,76,205,80,Orthodox,37,3.35,0.39,4.82,0.49,0.23,0.5,0.42,0.2
33b2f68ef95252e0,Miguel Torres,,44,9,0,69,135,76,Orthodox,45,3.98,0.43,1.86,0.74,0.0,0.0,0.17,1.6
9a967e8e43dcef63,Joao Pierini,,4,1,0,73,155,,Switch,54,0.76,0.14,4.56,0.33,0.0,0.0,0.0,0.0
9abc648e76c4493a,Bill Algeo,Senor Perfecto,18,9,0,72,145,73,Switch,36,5.88,0.51,4.38,0.47,1.03,0.5,0.55,0.1
